posteam,go,n,team_name,team_id,team_nick,team_color,team_color2,team_color3,team_color4,team_logo_wikipedia,team_logo_espn,team_wordmark,rank
ARI,0.5263157894736842,19,Arizona Cardinals,3800,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png,8
ATL,0.4666666666666667,15,Atlanta Falcons,0200,Falcons,#a71930,#000000,#a5acaf,#a30d2d,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ATL.png,15
BAL,0.5,8,Baltimore Ravens,0325,Ravens,#241773,#000000,#9e7c0c,#c60c30,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/BAL.png,10
BUF,0.6666666666666666,9,Buffalo Bills,0610,Bills,#00338d,#c60c30,#0c2e82,#d50a0a,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/BUF.png,3
CAR,0.47619047619047616,21,Carolina Panthers,0750,Panthers,#0085ca,#000000,#bfc0bf,#0085ca,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CAR.png,14
CHI,0.38461538461538464,13,Chicago Bears,0810,Bears,#0b162a,#c83803,#0b162a,#c83803,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CHI.png,20
CIN,0.5,10,Cincinnati Bengals,0920,Bengals,#000000,#fb4f14,#000000,#d32f1e,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CIN.png,11
CLE,0.4666666666666667,15,Cleveland Browns,1050,Browns,#fb4f14,#22150c,#a5acaf,#d32f1e,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CLE.png,16
DAL,0.5263157894736842,19,Dallas Cowboys,1200,Cowboys,#002244,#b0b7bc,#acc0c6,#a5acaf,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/DAL.png,9
DEN,0.3076923076923077,13,Denver Broncos,1400,Broncos,#002244,#fb4f14,#00234c,#ff5200,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/DEN.png,23
